"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"860Z200US75803","ZCTA5 75803","57654","5399",
"860Z200US75831","ZCTA5 75831","47358","7628",
"860Z200US75833","ZCTA5 75833","62378","8734",
"860Z200US75835","ZCTA5 75835","48706","7297",
"860Z200US75838","ZCTA5 75838","37386","30239",
"860Z200US75839","ZCTA5 75839","63412","9170",
"860Z200US75840","ZCTA5 75840","53368","16333",
"860Z200US75844","ZCTA5 75844","50294","10515",
"860Z200US75845","ZCTA5 75845","54850","21258",
"860Z200US75846","ZCTA5 75846","57482","20586",
"860Z200US75847","ZCTA5 75847","52969","15484",
"860Z200US75848","ZCTA5 75848","-","**",
"860Z200US75849","ZCTA5 75849","43125","7946",
"860Z200US75850","ZCTA5 75850","-","**",
"860Z200US75851","ZCTA5 75851","61310","11828",
"860Z200US75852","ZCTA5 75852","52768","14117",
"860Z200US75853","ZCTA5 75853","68750","35510",
"860Z200US75855","ZCTA5 75855","39337","8540",
"860Z200US75856","ZCTA5 75856","145096","129782",
"860Z200US75858","ZCTA5 75858","56591","27023",
"860Z200US75859","ZCTA5 75859","59698","17614",
"860Z200US75860","ZCTA5 75860","60995","8846",
"860Z200US75861","ZCTA5 75861","75528","13366",
"860Z200US75862","ZCTA5 75862","47377","7791",
"860Z200US75865","ZCTA5 75865","-","**",
"860Z200US75884","ZCTA5 75884","-","**",
"860Z200US75886","ZCTA5 75886","-","**",
"860Z200US75901","ZCTA5 75901","59350","4336",
"860Z200US75903","ZCTA5 75903","28554","1024",
"860Z200US75904","ZCTA5 75904","59444","4565",
"860Z200US75925","ZCTA5 75925","41328","2923",
"860Z200US75926","ZCTA5 75926","58375","11217",
"860Z200US75928","ZCTA5 75928","23718","4344",
"860Z200US75929","ZCTA5 75929","63454","9511",
"860Z200US75930","ZCTA5 75930","53472","7917",
"860Z200US75931","ZCTA5 75931","54931","30643",
"860Z200US75932","ZCTA5 75932","55804","7561",
"860Z200US75933","ZCTA5 75933","-","**",
"860Z200US75934","ZCTA5 75934","-","**",
"860Z200US75935","ZCTA5 75935","52569","8913",
"860Z200US75936","ZCTA5 75936","65000","15255",
"860Z200US75937","ZCTA5 75937","80262","21554",
"860Z200US75938","ZCTA5 75938","47609","9288",
"860Z200US75939","ZCTA5 75939","45339","6896",
"860Z200US75941","ZCTA5 75941","56083","3902",
"860Z200US75942","ZCTA5 75942","-","**",
"860Z200US75943","ZCTA5 75943","71500","35511",
"860Z200US75944","ZCTA5 75944","34667","20763",
"860Z200US75946","ZCTA5 75946","58125","18286",
"860Z200US75948","ZCTA5 75948","46157","11438",
"860Z200US75949","ZCTA5 75949","49577","6921",
"860Z200US75951","ZCTA5 75951","44141","6493",
"860Z200US75954","ZCTA5 75954","44750","12952",
"860Z200US75956","ZCTA5 75956","48125","20067",
"860Z200US75959","ZCTA5 75959","58542","23335",
"860Z200US75960","ZCTA5 75960","70156","22687",
"860Z200US75961","ZCTA5 75961","38547","2754",
"860Z200US75962","ZCTA5 75962","-","**",
"860Z200US75964","ZCTA5 75964","55039","4533",
"860Z200US75965","ZCTA5 75965","52073","6019",
"860Z200US75966","ZCTA5 75966","38156","8777",
"860Z200US75968","ZCTA5 75968","43472","13076",
"860Z200US75969","ZCTA5 75969","67471","29981",
"860Z200US75972","ZCTA5 75972","42272","6052",
"860Z200US75973","ZCTA5 75973","52037","23204",
"860Z200US75974","ZCTA5 75974","41875","7003",
"860Z200US75975","ZCTA5 75975","58318","10222",
"860Z200US75976","ZCTA5 75976","62417","45876",
"860Z200US75977","ZCTA5 75977","22273","9730",
"860Z200US75979","ZCTA5 75979","43822","7467",
"860Z200US75980","ZCTA5 75980","40648","16000",
"860Z200US76001","ZCTA5 76001","101311","5637",
"860Z200US76002","ZCTA5 76002","102369","8012",
"860Z200US76005","ZCTA5 76005","191250","37789",
"860Z200US76006","ZCTA5 76006","56312","3570",
"860Z200US76008","ZCTA5 76008","154054","14184",
"860Z200US76009","ZCTA5 76009","71996","9465",
"860Z200US76010","ZCTA5 76010","42571","3071",
"860Z200US76011","ZCTA5 76011","50200","2742",
"860Z200US76012","ZCTA5 76012","80972","4677",
"860Z200US76013","ZCTA5 76013","64585","3907",
"860Z200US76014","ZCTA5 76014","60894","2396",
"860Z200US76015","ZCTA5 76015","69805","7895",
"860Z200US76016","ZCTA5 76016","103605","6006",
"860Z200US76017","ZCTA5 76017","89930","7396",
"860Z200US76018","ZCTA5 76018","83815","5511",
"860Z200US76020","ZCTA5 76020","87923","8225",
"860Z200US76021","ZCTA5 76021","84539","4214",
"860Z200US76022","ZCTA5 76022","70286","7424",
"860Z200US76023","ZCTA5 76023","83750","11660",
"860Z200US76028","ZCTA5 76028","93314","6058",
"860Z200US76031","ZCTA5 76031","68203","12144",
"860Z200US76033","ZCTA5 76033","65488","5574",
"860Z200US76034","ZCTA5 76034","196034","14755",
"860Z200US76035","ZCTA5 76035","112983","33852",
"860Z200US76036","ZCTA5 76036","89393","4223",
"860Z200US76039","ZCTA5 76039","80176","4881",
"860Z200US76040","ZCTA5 76040","65698","4579",
"860Z200US76041","ZCTA5 76041","154427","56544",
"860Z200US76043","ZCTA5 76043","75764","31682",
"860Z200US76044","ZCTA5 76044","88795","12958",
"860Z200US76048","ZCTA5 76048","61728","6114",
"860Z200US76049","ZCTA5 76049","96674","3506",
"860Z200US76050","ZCTA5 76050","80858","13017",
"860Z200US76051","ZCTA5 76051","106726","6371",
"860Z200US76052","ZCTA5 76052","135348","13164",
"860Z200US76053","ZCTA5 76053","59985","5550",
"860Z200US76054","ZCTA5 76054","104748","10519",
"860Z200US76055","ZCTA5 76055","68466","10045",
"860Z200US76058","ZCTA5 76058","66777","7577",
"860Z200US76059","ZCTA5 76059","49703","6930",
"860Z200US76060","ZCTA5 76060","112931","8359",
"860Z200US76061","ZCTA5 76061","-","**",
"860Z200US76063","ZCTA5 76063","110303","6578",
"860Z200US76064","ZCTA5 76064","78523","31013",
"860Z200US76065","ZCTA5 76065","121063","9082",
"860Z200US76066","ZCTA5 76066","98145","52217",
"860Z200US76067","ZCTA5 76067","59845","6424",
"860Z200US76070","ZCTA5 76070","130630","31067",
"860Z200US76071","ZCTA5 76071","94318","13654",
"860Z200US76073","ZCTA5 76073","107759","35052",
"860Z200US76077","ZCTA5 76077","-","**",
"860Z200US76078","ZCTA5 76078","89794","5543",
"860Z200US76082","ZCTA5 76082","84506","8343",
"860Z200US76084","ZCTA5 76084","85748","6899",
"860Z200US76085","ZCTA5 76085","91128","7481",
"860Z200US76086","ZCTA5 76086","65707","7693",
"860Z200US76087","ZCTA5 76087","101606","8483",
"860Z200US76088","ZCTA5 76088","89554","18789",
"860Z200US76092","ZCTA5 76092","250,000+","***",
"860Z200US76093","ZCTA5 76093","52832","17102",
"860Z200US76102","ZCTA5 76102","81074","15619",
"860Z200US76103","ZCTA5 76103","56641","11856",
"860Z200US76104","ZCTA5 76104","46098","4598",
"860Z200US76105","ZCTA5 76105","44193","4466",
"860Z200US76106","ZCTA5 76106","51972","2869",
"860Z200US76107","ZCTA5 76107","77277","6736",
"860Z200US76108","ZCTA5 76108","73183","4362",
"860Z200US76109","ZCTA5 76109","99102","11632",
"860Z200US76110","ZCTA5 76110","59933","7046",
"860Z200US76111","ZCTA5 76111","54884","6211",
"860Z200US76112","ZCTA5 76112","53335","4278",
"860Z200US76114","ZCTA5 76114","63454","4396",
"860Z200US76115","ZCTA5 76115","45311","3624",
"860Z200US76116","ZCTA5 76116","50982","4951",
"860Z200US76117","ZCTA5 76117","49782","5636",
"860Z200US76118","ZCTA5 76118","89394","10221",
"860Z200US76119","ZCTA5 76119","44605","2383",
"860Z200US76120","ZCTA5 76120","70129","10066",
"860Z200US76123","ZCTA5 76123","91180","5973",
"860Z200US76126","ZCTA5 76126","106467","8033",
"860Z200US76127","ZCTA5 76127","103971","7927",
"860Z200US76129","ZCTA5 76129","-","**",
"860Z200US76131","ZCTA5 76131","101087","3458",
"860Z200US76132","ZCTA5 76132","68284","5573",
"860Z200US76133","ZCTA5 76133","69506","3103",
"860Z200US76134","ZCTA5 76134","65516","4555",
"860Z200US76135","ZCTA5 76135","69525","7629",
"860Z200US76137","ZCTA5 76137","86733","5140",
"860Z200US76140","ZCTA5 76140","70933","3485",
"860Z200US76148","ZCTA5 76148","88121","6622",
"860Z200US76155","ZCTA5 76155","59653","11670",
"860Z200US76164","ZCTA5 76164","52691","8453",
"860Z200US76177","ZCTA5 76177","102719","8908",
"860Z200US76179","ZCTA5 76179","106288","7051",
"860Z200US76180","ZCTA5 76180","76416","5936",
"860Z200US76182","ZCTA5 76182","110669","9037",
